chord_m,span_m,wing_mass_kg,total_mass_kg,Vmin_m_s,sink_rate_m_s,glide_ratio,combined_obj,PLA_total_kg
0.028,0.85,0.118048,0.478048,13.790998968566424,0.6522584319769896,21.14345831722869,0.04303987515363439,0.5
0.03,0.85,0.12648,0.48648,13.674191653590448,0.6694332050897611,20.426521346154228,0.04333392780942882,0.5
0.026000000000000002,0.85,0.109616,0.469616,13.924435140195369,0.6346133750218421,21.941603641297537,0.04351267821826726,0.5
0.032,0.85,0.134912,0.494912,13.571441485515287,0.6861924386333839,19.777894248651407,0.04426887319354137,0.5
0.024,0.85,0.10118400000000001,0.461184,14.077767438788912,0.6164308534207025,22.837545136925684,0.04491333929255585,0.5
0.022,0.85,0.09275199999999999,0.452752,14.255222475427525,0.5976271242483034,23.85303795131081,0.04745142999145255,0.5
0.02,0.85,0.08432000000000002,0.44432,14.462384823808158,0.5780958764632539,25.017277259073207,0.05140563129138451,0.5
0.028,0.84,0.11665919999999999,0.47665919999999995,13.893724815385355,0.6610167868351793,21.01871706149223,0.05255376525466121,0.5
0.03,0.84,0.12499199999999998,0.484992,13.774986584182509,0.678369935306066,20.30600984397625,0.052809458149565246,0.5
0.026000000000000002,0.84,0.1083264,0.4683264,14.029273886194035,0.6431860967660225,21.8121535224938,0.0530724558543507,0.5
0.032,0.84,0.1333248,0.4933248,13.670461950415474,0.6953011694663719,19.661209488410968,0.053712459999639396,0.5
0.024,0.84,0.0999936,0.4599936,14.1849332012134,0.6248096034212474,22.702809181455397,0.054527943670583,0.5
0.032,0.85,0.134912,0.494912,13.571441485515287,0.6861924386333839,19.777894248651407,0.06693649630859846,0.6
0.034,0.85,0.143344,0.503344,13.48069242016877,0.7025813523930791,19.187375773996653,0.06712487360080138,0.6
0.03,0.85,0.12648,0.48648,13.674191653590448,0.6694332050897611,20.426521346154228,0.06727955709922435,0.6
0.036000000000000004,0.85,0.15177600000000002,0.511776,13.400278165434296,0.7186377458670089,18.646777521082438,0.06776668559556974,0.6
0.028,0.85,0.118048,0.478048,13.790998968566424,0.6522584319769896,21.14345831722869,0.06825074462229014,0.6
0.038000000000000006,0.85,0.16020800000000002,0.520208,13.328832036472903,0.734393550091593,18.1494404938749,0.06879824161728329,0.6
0.026000000000000002,0.85,0.109616,0.469616,13.924435140195369,0.6346133750218421,21.941603641297537,0.06997155998212447,0.6
0.04,0.85,0.16864000000000004,0.52864,13.265221124668008,0.7498759928233115,17.689886396714673,0.070166980372219,0.6
0.041999999999999996,0.85,0.17707199999999998,0.537072,13.208497369730187,0.7651084874409844,17.263561425005115,0.07182911108351842,0.6
0.024,0.85,0.10118400000000001,0.461184,14.077767438788912,0.6164308534207025,22.837545136925684,0.07259709994569,0.6
0.044,0.85,0.18550399999999997,0.545504,13.157860620104646,0.7801113207780843,16.866644887271953,0.07374783777387468,0.6
0.032,0.85,0.134912,0.494912,13.571441485515287,0.6861924386333839,19.777894248651407,0.07380591300917043,0.7
0.032,0.85,0.134912,0.494912,13.571441485515287,0.6861924386333839,19.777894248651407,0.07396974870265141,0.8
0.032,0.85,0.134912,0.494912,13.571441485515287,0.6861924386333839,19.777894248651407,0.07396974870265141,0.9
0.032,0.85,0.134912,0.494912,13.571441485515287,0.6861924386333839,19.777894248651407,0.07396974870265141,1.0
0.034,0.85,0.143344,0.503344,13.48069242016877,0.7025813523930791,19.187375773996653,0.0740662273523323,0.7
0.03,0.85,0.12648,0.48648,13.674191653590448,0.6694332050897611,20.426521346154228,0.07406752343941367,0.7
0.03,0.85,0.12648,0.48648,13.674191653590448,0.6694332050897611,20.426521346154228,0.07422941654055248,0.8
0.03,0.85,0.12648,0.48648,13.674191653590448,0.6694332050897611,20.426521346154228,0.07422941654055248,0.9
0.03,0.85,0.12648,0.48648,13.674191653590448,0.6694332050897611,20.426521346154228,0.07422941654055248,1.0
0.034,0.85,0.143344,0.503344,13.48069242016877,0.7025813523930791,19.187375773996653,0.07423177874558001,0.8
0.034,0.85,0.143344,0.503344,13.48069242016877,0.7025813523930791,19.187375773996653,0.07423177874558001,0.9
0.034,0.85,0.143344,0.503344,13.48069242016877,0.7025813523930791,19.187375773996653,0.07423177874558001,1.0
0.036000000000000004,0.85,0.15177600000000002,0.511776,13.400278165434296,0.7186377458670089,18.646777521082438,0.07477178396329666,0.7
0.036000000000000004,0.85,0.15177600000000002,0.511776,13.400278165434296,0.7186377458670089,18.646777521082438,0.0749388556666166,0.8
0.036000000000000004,0.85,0.15177600000000002,0.511776,13.400278165434296,0.7186377458670089,18.646777521082438,0.0749388556666166,0.9
0.036000000000000004,0.85,0.15177600000000002,0.511776,13.400278165434296,0.7186377458670089,18.646777521082438,0.0749388556666166,1.0
0.028,0.85,0.118048,0.478048,13.790998968566424,0.6522584319769896,21.14345831722869,0.07494611746041176,0.7
0.032,0.84,0.1333248,0.4933248,13.670461950415474,0.6953011694663719,19.661209488410968,0.0750873338530396,0.6
0.028,0.85,0.118048,0.478048,13.790998968566424,0.6522584319769896,21.14345831722869,0.07510580220510864,0.8
0.028,0.85,0.118048,0.478048,13.790998968566424,0.6522584319769896,21.14345831722869,0.07510580220510864,0.9
0.028,0.85,0.118048,0.478048,13.790998968566424,0.6522584319769896,21.14345831722869,0.07510580220510864,1.0
0.038000000000000006,0.85,0.16020800000000002,0.520208,13.328832036472903,0.734393550091593,18.1494404938749,0.07585997554153402,0.7
0.038000000000000006,0.85,0.16020800000000002,0.520208,13.328832036472903,0.734393550091593,18.1494404938749,0.07602839800374415,0.8
0.038000000000000006,0.85,0.16020800000000002,0.520208,13.328832036472903,0.734393550091593,18.1494404938749,0.07602839800374415,0.9
0.038000000000000006,0.85,0.16020800000000002,0.520208,13.328832036472903,0.734393550091593,18.1494404938749,0.07602839800374415,1.0
0.026000000000000002,0.85,0.109616,0.469616,13.924435140195369,0.6346133750218421,21.941603641297537,0.07656115757461039,0.7
0.026000000000000002,0.85,0.109616,0.469616,13.924435140195369,0.6346133750218421,21.941603641297537,0.07671831957807941,0.8
0.026000000000000002,0.85,0.109616,0.469616,13.924435140195369,0.6346133750218421,21.941603641297537,0.07671831957807941,0.9
0.026000000000000002,0.85,0.109616,0.469616,13.924435140195369,0.6346133750218421,21.941603641297537,0.07671831957807941,1.0
0.04,0.85,0.16864000000000004,0.52864,13.265221124668008,0.7498759928233115,17.689886396714673,0.07727913885331314,0.7
0.04,0.85,0.16864000000000004,0.52864,13.265221124668008,0.7498759928233115,17.689886396714673,0.077448763941976,0.8
0.04,0.85,0.16864000000000004,0.52864,13.265221124668008,0.7498759928233115,17.689886396714673,0.077448763941976,0.9
0.04,0.85,0.16864000000000004,0.52864,13.265221124668008,0.7498759928233115,17.689886396714673,0.077448763941976,1.0
0.041999999999999996,0.85,0.17707199999999998,0.537072,13.208497369730187,0.7651084874409844,17.263561425005115,0.07898623465195495,0.7
0.024,0.85,0.10118400000000001,0.461184,14.077767438788912,0.6164308534207025,22.837545136925684,0.07906515057418836,0.7
0.041999999999999996,0.85,0.17707199999999998,0.537072,13.208497369730187,0.7651084874409844,17.263561425005115,0.07915693215863934,0.8
0.041999999999999996,0.85,0.17707199999999998,0.537072,13.208497369730187,0.7651084874409844,17.263561425005115,0.07915693215863934,0.9
0.041999999999999996,0.85,0.17707199999999998,0.537072,13.208497369730187,0.7651084874409844,17.263561425005115,0.07915693215863934,1.0
0.024,0.85,0.10118400000000001,0.461184,14.077767438788912,0.6164308534207025,22.837545136925684,0.07921941368070538,0.8
0.024,0.85,0.10118400000000001,0.461184,14.077767438788912,0.6164308534207025,22.837545136925684,0.07921941368070538,0.9
0.024,0.85,0.10118400000000001,0.461184,14.077767438788912,0.6164308534207025,22.837545136925684,0.07921941368070538,1.0
0.044,0.85,0.18550399999999997,0.545504,13.157860620104646,0.7801113207780843,16.866644887271953,0.08094510124264295,0.7
0.044,0.85,0.18550399999999997,0.545504,13.157860620104646,0.7801113207780843,16.866644887271953,0.08111675608656481,0.8
0.044,0.85,0.18550399999999997,0.545504,13.157860620104646,0.7801113207780843,16.866644887271953,0.08111675608656481,0.9
0.044,0.85,0.18550399999999997,0.545504,13.157860620104646,0.7801113207780843,16.866644887271953,0.08111675608656481,1.0
0.032,0.84,0.1333248,0.4933248,13.670461950415474,0.6953011694663719,19.661209488410968,0.08187825673990337,0.7
0.032,0.84,0.1333248,0.4933248,13.670461950415474,0.6953011694663719,19.661209488410968,0.08204022035472563,0.8
0.032,0.84,0.1333248,0.4933248,13.670461950415474,0.6953011694663719,19.661209488410968,0.08204022035472563,0.9
0.032,0.84,0.1333248,0.4933248,13.670461950415474,0.6953011694663719,19.661209488410968,0.08204022035472563,1.0
